"artist.familiarity","artist.hotttnesss","artist.id","artist.latitude","artist.location","artist.longitude","artist.name","artist.similar","artist.terms","artist.terms_freq","release.id","release.name","song.artist_mbtags","song.artist_mbtags_count","song.bars_confidence","song.bars_start","song.beats_confidence","song.beats_start","song.duration","song.end_of_fade_in","song.hotttnesss","song.id","song.key","song.key_confidence","song.loudness","song.mode","song.mode_confidence","song.start_of_fade_out","song.tatums_confidence","song.tatums_start","song.tempo","song.time_signature","song.time_signature_confidence","song.title","song.year"
"0.581793766","0.401997543","ARD7TVE1187B99BFB1","0.0","0","0.0","Casual","0.0","hip hop","1.0","300848","0","0.0","0.0","0.643","0.58521","0.834","0.58521","218.93179","0.247","0.60211999","SOMZWCG12A8C13C480","1.0","0.736","-11.197","0","0.636","218.932","0.779","0.28519","92.198","4.0","0.778","0","0"
"0.630630038","0.417499645","ARMJAGH1187FB546F3","35.14968","0","-90.04892","The Box Tops","0.0","blue-eyed soul","1.0","300822","0","0.0","1.0","0.007","0.71054","1.0","0.20627","148.03546","0.148","-1.0","SOCIWDW12A8C13D406","6.0","0.169","-9.843","0","0.43","137.915","0.969","0.20627","121.274","4.0","0.384","0","1969"
"0.487356791","0.343428378","ARKRRTF1187B9984DA","0.0","0","0.0","Sonora Santanera","0.0","salsa","1.0","514953","0","0.0","0.0","0.98","0.73152","0.98","0.73152","177.47546","0.282","-1.0","SOXVLOJ12AB0189215","8.0","0.643","-9.689","1","0.565","172.304","0.482","0.42132","100.07","1.0","0.0","0","0"
"0.630382334","0.454231157","AR7G5I41187FB4CE6C","0.0","0","0.0","Adam Ant","0.0","pop rock","0.988583863","287650","0","0.0","1.0","0.017","1.30621","0.809","0.81002","233.40363","0.0","-1.0","SONHOTT12A8C13493C","0.0","0.751","-9.013","1","0.749","217.124","0.601","0.56254","119.293","4.0","0.0","0","1982"
"0.651045661","0.401723686","ARXR32B1187FB57099","0.0","0","0.0","Gob","0.0","pop punk","0.887288301","611336","0","0.0","0.0","0.175","1.06368","0.883","0.13576","209.60608","0.066","0.604500739","SOFSOCN12A8C143F5D","2.0","0.092","-4.501","1","0.371","198.699","1.0","0.13576","129.738","4.0","0.562","0","2007"
"0.535292736","0.385470551","ARKFYS91187B98E58F","0.0","0","0.0","Jeff And Sheri Easter","0.0","southern gospel","1.0","41838","0","0.0","0.0","0.121","1.17118","0.438","0.74856","267.7024","2.264","-1.0","SOYMRWW12A6D4FAB14","5.0","0.635","-9.323","1","0.557","254.27","0.136","0.53929","147.782","3.0","0.454","0","0"
"0.556495602","0.261941177","ARD0S291187B9B7BF5","0.0","0","0.0","Rated R","0.0","breakbeat","1.0","25824","0","0.0","0.0","0.709","0.27253","0.709","0.27253","114.78159","0.096","-1.0","SOMJBYD12A6D4F8557","1.0","0.0","-17.302","1","0.0","114.782","0.467","0.05611","111.787","1.0","0.0","0","0"
"0.801136447","0.605507136","AR10USD1187B99F3F1","0.0","0","0.0","Tweeterfriendly Music","0.0","post-hardcore","0.999818045","8876","0","0.0","0.0","0.142","0.65428","0.234","0.65428","189.57016","0.319","-1.0","SOHKNRJ12A6701D1F8","4.0","0.0","-11.642","0","0.16","181.023","0.292","0.36129","101.43","3.0","0.408","0","0"
"0.426667857","0.332275747","AR8ZCNI1187B9A069B","0.0","0","0.0","Planet P Project","0.0","new wave","0.959766246","358182","0","0.0","0.0","0.806","1.91886","0.44","1.22595","269.81832","5.3","0.265861049","SOIAZJW12AB01853F1","4.0","0.717","-13.496","1","0.652","258.99","0.121","1.22595","86.643","4.0","0.487","0","1984"
"0.550513698","0.422705641","ARNTLGG11E2835DDB9","0.0","0","0.0","Clp","0.0","breakcore","0.915601748","692313","0","0.0","0.0","0.047","0.62445","1.0","0.09933","266.39628","0.084","-1.0","SOUDSGM12AC9618304","7.0","0.053","-6.697","0","0.473","261.747","1.0","0.09933","114.041","4.0","0.878","0","0"
"0.360031167","0.296268954","ARGSJW91187B9B1D6B","35.21962","0","-80.01955","JennyAnyKind","0.0","alternative rock","0.956080751","539081","0","0.0","0.0","0.873","0.11194","0.873","0.11194","218.77506","2.125","0.0","SOQHXMF12AB0182363","5.0","0.354","-10.021","0","0.485","207.012","0.229","0.11194","146.765","1.0","0.0","0","0"
"0.545159296","0.351555861","ARC43071187B990240","0.0","0","0.0","Wayne Watson","0.0","ccm","1.0","163874","0","0.0","0.0","0.018","1.45439","1.0","0.42896","245.21098","0.357","0.265861049","SOKEJEJ12A8C13E0D0","7.0","0.07","-7.545","1","0.686","227.48","0.728","0.1727","117.975","4.0","0.835","0","0"
"0.577508974","0.37948217","ARL7K851187B99ACD2","0.0","0","0.0","Andy Andy","0.0","bachata","1.0","575792","0","0.0","0.0","0.013","1.2229","0.699","0.29639","226.35057","0.0","0.0","SOMUYGI12AB0188633","9.0","0.205","-6.632","1","0.305","221.553","1.0","0.06508","130.04","4.0","0.0","0","0"
"0.085512047","0.251936525","ARHHO3O1187B989413","0.0","0","0.0","Bob Azzam","0.0","chanson","0.977114901","815863","0","0.0","0.0","1.0","0.46223","1.0","0.46223","191.84281","0.38","0.0","SORAMLE12AB017C8B0","10.0","0.0","-7.75","0","0.198","188.424","0.774","0.23506","137.334","1.0","0.319","0","0"
"0.776675856","0.553071992","ARIK43K1187B9AE54C","0.0","0","0.0","Lionel Richie","0.0","quiet storm","1.0","25811","0","0.0","1.0","0.191","0.82842","1.0","0.82842","307.3824","0.612","-1.0","SOBONFF12A6D4F84D8","3.0","0.524","-8.346","1","0.533","296.658","0.389","0.58901","125.197","3.0","0.211","0","1986"
"0.636423645","0.447935481","ARD842G1187B997376","43.64856","0","-79.38533","Blue Rodeo","0.0","country rock","1.0","135122","0","0.0","2.0","0.507","1.32118","0.0","0.30065","491.12771","0.0","0.405115722","SOHUOAP12A8AE488E9","7.0","1.0","-8.576","1","0.829","486.034","0.377","0.05047","119.826","4.0","0.756","0","1987"
"0.419943148","0.330806357","ARIG6O41187B988BDD","37.16793","0","-95.84502","Richard Souther","0.0","chill-out","0.830058031","149958","0","0.0","0.0","0.125","1.19076","0.768","0.24795","228.5971","0.223","0.334706549","SOUQQEA12A8C134B1B","8.0","0.041","-16.11","1","0.516","217.426","0.767","0.08584","127.756","5.0","0.579","0","0"
"0.363280571","0.306676094","AR1ZHYZ1187FB3C717","0.0","0","0.0","Faiz Ali Faiz","0.0","qawwali","1.0","535188","0","0.0","0.0","0.443","0.90668","0.0","0.27615","599.24853","1.193","-1.0","SOILPQQ12AB017E82A","6.0","0.06","-8.032","1","0.346","591.999","0.48","0.12168","99.273","4.0","0.158","0","0"
"0.707199764","0.51346329","ARYKCQI1187FB3B18F","0.0","0","0.0","Tesla","0.0","hard rock","1.0","372309","0","0.0","0.0","0.03","0.8752","1.0","0.05728","290.29832","0.145","0.684136191","SOXLBJT12A8C140925","7.0","0.725","-5.271","1","0.756","285.605","0.238","0.05728","150.062","4.0","0.931","0","2004"